,seasons(0),seasons(1),seasons(2),seasons(3)
wind(0),0.05274725274725275,0.030434782608695653,0.06956521739130435,0.0
wind(1),0.24395604395604395,0.1826086956521739,0.45652173913043476,0.0
wind(2),0.17802197802197803,0.15,0.4217391304347826,0.03131115459882583
wind(3),0.22197802197802197,0.24130434782608695,0.015217391304347827,0.33072407045009783
wind(4),0.189010989010989,0.2543478260869565,0.01956521739130435,0.41291585127201563
wind(5),0.0989010989010989,0.11956521739130435,0.017391304347826087,0.18199608610567514
wind(6),0.015384615384615385,0.021739130434782608,0.0,0.043052837573385516
