,seasons(0),seasons(1),seasons(2),seasons(3),seasons(4),seasons(5),seasons(6),seasons(7),seasons(8),seasons(9),seasons(10),seasons(11),seasons(12),seasons(13),seasons(14),seasons(15),seasons(16),seasons(17),seasons(18),seasons(19),seasons(20),seasons(21),seasons(22),seasons(23),seasons(24),seasons(25),seasons(26),seasons(27),seasons(28),seasons(29),seasons(30),seasons(31),seasons(32),seasons(33),seasons(34),seasons(35),seasons(36),seasons(37),seasons(38),seasons(39),seasons(40),seasons(41),seasons(42),seasons(43),seasons(44),seasons(45),seasons(46),seasons(47),seasons(48),seasons(49),seasons(50),seasons(51),seasons(52),seasons(53),seasons(54),seasons(55),seasons(56),seasons(57),seasons(58),seasons(59),seasons(60),seasons(61),seasons(62),seasons(63),seasons(64),seasons(65),seasons(66),seasons(67),seasons(68),seasons(69),seasons(70),seasons(71),seasons(72),seasons(73),seasons(74),seasons(75),seasons(76),seasons(77),seasons(78),seasons(79),seasons(80),seasons(81),seasons(82),seasons(83),seasons(84),seasons(85),seasons(86),seasons(87),seasons(88),seasons(89),seasons(90),seasons(91),seasons(92),seasons(93),seasons(94),seasons(95),seasons(96),seasons(97),seasons(98),seasons(99),seasons(100),seasons(101),seasons(102),seasons(103),seasons(104),seasons(105),seasons(106),seasons(107),seasons(108),seasons(109),seasons(110),seasons(111)
rain(0),0.5,0.5,1.0,1.0,1.0,0.8444444444444444,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.9823008849557522,0.9259259259259259,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.8333333333333334,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.9907407407407407,0.9215686274509803,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rain(1),0.5,0.5,0.0,0.0,0.0,0.15555555555555556,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.017699115044247787,0.07407407407407407,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.16666666666666666,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.009259259259259259,0.0784313725490196,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
