seasons,seasons(Autumn),seasons(Spring),seasons(Summer),seasons(Winter)
wind(0 calm),0.03736263736263736,0.03695652173913044,0.0891304347826087,0.0
wind(1 light air),0.2175824175824176,0.1673913043478261,0.4434782608695652,0.0
wind(2 light breeze),0.1956043956043956,0.14782608695652175,0.4152173913043478,0.023483365949119372
wind(3 gentle breeze),0.22417582417582418,0.24347826086956523,0.013043478260869565,0.36203522504892366
wind(4 moderate breeze),0.1912087912087912,0.24782608695652175,0.02391304347826087,0.3776908023483366
wind(5 fresh breeze),0.11428571428571428,0.1391304347826087,0.015217391304347827,0.18590998043052837
wind(6 strong breeze),0.01978021978021978,0.017391304347826087,0.0,0.050880626223091974
