mood,mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(0 very bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(1 bad),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(2 okish),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(3 good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good),mood(4 very good)
temperature,temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(cold),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(hot),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(very cold),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm),temperature(warm)
wind,wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze),wind(0 calm),wind(1 light air),wind(2 light breeze),wind(3 gentle breeze),wind(4 moderate breeze),wind(5 fresh breeze),wind(6 strong breeze)
walk(0),0.5,0.5,0.5,0.5833333333333334,0.4772727272727273,0.5483870967741935,0.72,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5272727272727272,0.5454545454545454,0.9090909090909091,0.5,0.5,0.5,0.5,0.8333333333333334,1.0,0.5,0.5,0.5,0.5,0.4090909090909091,0.48739495798319327,0.5625,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.2857142857142857,0.4339622641509434,0.4482758620689655,0.0,0.5,1.0,1.0,0.0,0.8,0.25,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5
walk(1),0.5,0.5,0.5,0.4166666666666667,0.5227272727272727,0.45161290322580644,0.28,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.4727272727272727,0.45454545454545453,0.09090909090909091,0.5,0.5,0.5,0.5,0.16666666666666666,0.0,0.5,0.5,0.5,0.5,0.5909090909090909,0.5126050420168067,0.4375,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.7142857142857143,0.5660377358490566,0.5517241379310345,1.0,0.5,0.0,0.0,1.0,0.2,0.75,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
